,transmission_p,score
0,0.002,1923.8386297297295
1,0.003,1607.4147189189189
2,0.004,1384.1763074324326
3,0.005,1154.7993925675673
4,0.006,974.3026013513515
5,0.007,760.0940912162162
6,0.008,489.73397162162166
7,0.009000000000000001,328.8794182432432
8,0.01,191.3708540540541
9,0.011000000000000001,104.80308175675677
10,0.012,161.62200405405403
11,0.013,381.72235743243243
12,0.014,1203.5841864864867
13,0.015000000000000001,1704.2211135135137
14,0.016,4349.998474999999
15,0.017,7409.980666891892
16,0.018000000000000002,13705.212235810812
17,0.019000000000000003,27157.127779729733
18,0.020000000000000004,41263.16230337837
19,0.020999999999999998,66796.87751418917
