,Parameter,"linear, 95%","linear, 99%","nonlinear, 95%","nonlinear, 99%"
0,R0,3.3607045198119407,3.424778768225025,4.802105104181703,5.068523481513801
1,E_time,1.981626217037429,1.980258399968118,1.974598891487162,1.9716707163328042
2,inital_prev_mult,1.0431161284721904,1.0463258635935315,1.0520627501033264,1.0574633098938582
3,daily_self_report_prob,0.3485817745045651,0.3477317566413024,0.3279132000203047,0.32404839980731837
4,ID_time,3.084055545161446,3.090312972370436,3.2522754527225053,3.2819419463052943
5,ct_testing_ratio,0.8664717001496393,0.8565313254242246,0.5554022944499781,0.5029087812649958
6,test_noncompliance,0.1043380659044967,0.1046610086868325,0.11236423872591748,0.11383053430699162
7,asymp_prob_mult,1.127736128301226,1.1372453108693463,1.3347119475227271,1.373402628361317
8,ct_mult,1.3457801972950327,1.3342994652653066,1.0436724364873429,0.9895106363044185
9,outside_inf_mult,1.020257217577652,1.0217652449684134,1.016606818901297,1.0178287925476341
10,Sy_time,11.997870376266064,11.997711838652965,12.019717019219861,12.02194022189937
11,test_sensitivity,0.5337362159732177,0.5288032778268599,0.4170101126492646,0.3958037488693071
