,county name,pop_density,mean_PRE,sd_PRE,mean_POST,sd_POST
1733,"Sheridan, Nebraska, US",2.2,0.0,0.0,0.0,0.0
1734,"Sherman, Nebraska, US",5.6,0.0,0.0,0.0,0.0
1735,"Sioux, Nebraska, US",0.6,0.0,0.0,0.0,0.0
1736,"Stanton, Nebraska, US",14.3,0.0,0.0,0.0,0.0
1737,"Thayer, Nebraska, US",9.1,0.0,0.0,0.0,0.0
1738,"Thomas, Nebraska, US",0.9,0.0,0.0,0.0,0.0
1739,"Thurston, Nebraska, US",17.6,0.0,0.0,0.0,0.0
1740,"Valley, Nebraska, US",7.5,0.0,0.0,0.0,0.0
1741,"Washington, Nebraska, US",51.9,0.0,0.0,0.0,0.0
1742,"Wayne, Nebraska, US",21.7,0.0,0.0,0.0,0.0
1743,"Webster, Nebraska, US",6.6,0.0,0.0,0.0,0.0
1744,"Wheeler, Nebraska, US",1.4,0.0,0.0,0.0,0.0
1745,"York, Nebraska, US",23.9,0.0,0.0,0.0,0.0
1746,"Churchill, Nevada, US",5.0,0.0,0.0,0.0,0.0
1747,"Clark, Nevada, US",247.3,0.18567860333521535,0.055109932257969806,0.11269355626711894,0.04273818216718662
1748,"Douglas, Nevada, US",66.2,0.0,0.0,0.0,0.0
1749,"Elko, Nevada, US",2.8,0.0,,0.0,0.0
1750,"Esmeralda, Nevada, US",0.2,0.0,0.0,0.0,0.0
1751,"Eureka, Nevada, US",0.5,0.0,0.0,0.0,0.0
1752,"Humboldt, Nevada, US",1.7,0.0,0.0,0.0,0.0
1753,"Lander, Nevada, US",1.1,0.0,0.0,0.0,0.0
1754,"Lincoln, Nevada, US",0.5,0.0,0.0,0.0,0.0
1755,"Lyon, Nevada, US",26.0,0.0,0.0,0.0,0.0
1756,"Mineral, Nevada, US",1.3,0.0,0.0,0.0,0.0
1757,"Nye, Nevada, US",2.4,0.0,0.0,0.0,0.0
1758,"Pershing, Nevada, US",1.1,0.0,0.0,0.0,0.0
1759,"Storey, Nevada, US",15.3,0.0,0.0,0.0,0.0
1760,"Washoe, Nevada, US",66.9,0.19804205158855578,0.15546897992854244,0.1373265360835137,0.03811978392106096
1761,"White Pine, Nevada, US",1.1,0.0,0.0,0.0,0.0
1762,"Carson City, Nevada, US",382.1,0.0,0.0,0.0,0.0
1763,"Belknap, New Hampshire, US",150.1,0.0,0.0,0.0,0.0
1764,"Carroll, New Hampshire, US",51.4,0.0,0.0,0.0,0.0
1765,"Cheshire, New Hampshire, US",109.1,0.0,0.0,0.0,0.0
1766,"Coos, New Hampshire, US",18.4,0.0,0.0,0.0,0.0
1767,"Grafton, New Hampshire, US",52.2,0.0,0.0,0.0,0.0
1768,"Hillsborough, New Hampshire, US",457.4,,,0.0,0.0
1769,"Merrimack, New Hampshire, US",156.8,0.0,0.0,0.0,0.0
1770,"Rockingham, New Hampshire, US",425.0,0.0,0.0,0.0,0.0
1771,"Strafford, New Hampshire, US",333.7,0.0,0.0,0.0,0.0
1772,"Sullivan, New Hampshire, US",81.4,0.0,0.0,0.0,0.0
1773,"Atlantic, New Jersey, US",494.1,0.0,0.0,0.2599301927099794,0.16835853715335802
1774,"Bergen, New Jersey, US",3884.5,0.2016056544253708,0.14428226100983774,0.11702463737386966,0.02717568063175834
1775,"Burlington, New Jersey, US",561.9,,,0.09751981969369687,0.03644825998635571
1776,"Camden, New Jersey, US",2321.5,0.15995704166767974,0.09461032504199994,0.18448831497619717,0.0771065813566664
1777,"Cape May, New Jersey, US",386.9,0.0,0.0,0.18800967459703424,0.12077582103954772
1778,"Cumberland, New Jersey, US",324.4,0.11552453009332425,0.11552453009332427,0.05068313851352055,0.05068313851352055
1779,"Essex, New Jersey, US",6211.5,0.28597191537852507,0.18866390917112683,0.11540540639862959,0.025440055100530212
1780,"Gloucester, New Jersey, US",895.3,,,0.1373265360835137,0.06747899674765201
