,positives
2021-11-27,0
2021-11-28,1
2021-11-29,4
2021-11-30,2
2021-12-01,1
2021-12-02,1
2021-12-03,0
2021-12-04,0
2021-12-05,0
2021-12-06,0
2021-12-07,5
2021-12-08,10
2021-12-09,19
2021-12-10,17
2021-12-11,11
2021-12-12,10
2021-12-13,20
2021-12-14,10
2021-12-15,7
2021-12-16,3
2021-12-17,6
2021-12-18,2
2021-12-19,1
2021-12-20,3
2021-12-21,4
2021-12-22,1
2021-12-23,5
2021-12-24,0
2021-12-25,0
2021-12-26,0
2021-12-27,3
2021-12-28,3
2021-12-29,0
2021-12-30,0
