,positives
2021-11-27,0
2021-11-28,2
2021-11-29,12
2021-11-30,10
2021-12-01,13
2021-12-02,7
2021-12-03,2
2021-12-04,5
2021-12-05,10
2021-12-06,16
2021-12-07,35
2021-12-08,56
2021-12-09,93
2021-12-10,143
2021-12-11,183
2021-12-12,262
2021-12-13,307
2021-12-14,322
2021-12-15,205
2021-12-16,126
2021-12-17,51
2021-12-18,29
2021-12-19,1
2021-12-20,26
2021-12-21,10
2021-12-22,4
2021-12-23,5
2021-12-24,0
2021-12-25,0
2021-12-26,0
2021-12-27,3
2021-12-28,6
2021-12-29,1
2021-12-30,0
