,positives
2021-11-27,0
2021-11-28,0
2021-11-29,3
2021-11-30,2
2021-12-01,4
2021-12-02,3
2021-12-03,1
2021-12-04,1
2021-12-05,1
2021-12-06,3
2021-12-07,7
2021-12-08,5
2021-12-09,6
2021-12-10,14
2021-12-11,10
2021-12-12,14
2021-12-13,34
2021-12-14,29
2021-12-15,23
2021-12-16,15
2021-12-17,9
2021-12-18,7
2021-12-19,2
2021-12-20,7
2021-12-21,4
2021-12-22,6
2021-12-23,5
2021-12-24,0
2021-12-25,0
2021-12-26,0
2021-12-27,8
2021-12-28,9
2021-12-29,2
2021-12-30,0
