test_date,positives
2022-01-01 00:00:00.0000000,	2
2022-01-02 00:00:00.0000000,	9
2022-01-03 00:00:00.0000000,	102
2022-01-04 00:00:00.0000000,	46
2022-01-05 00:00:00.0000000,	43
2022-01-06 00:00:00.0000000,	41
2022-01-07 00:00:00.0000000,	10
2022-01-08 00:00:00.0000000,	2
2022-01-09 00:00:00.0000000,	8
2022-01-10 00:00:00.0000000,	41
2022-01-11 00:00:00.0000000,	27
2022-01-12 00:00:00.0000000,	27
2022-01-13 00:00:00.0000000,	20
