,0
0,1.0
1,9.0
2,21.0
3,29.0
4,34.0
5,37.5
6,39.0
7,41.0
8,43.5
9,45.0
10,46.0
11,47.0
12,47.0
13,48.5
14,50.0
15,51.0
16,52.0
17,53.0
18,55.0
19,57.0
20,58.0
21,60.0
22,61.0
23,63.0
24,66.0
25,68.5
26,70.0
27,72.0
28,73.0
29,76.0
30,77.5
31,80.5
32,83.0
33,86.0
34,88.0
35,91.5
36,93.0
37,95.0
38,96.5
39,98.0
40,98.5
41,103.0
42,107.5
43,112.0
44,115.5
45,120.5
46,124.0
47,126.5
48,130.5
49,137.0
50,142.5
51,147.0
52,152.5
53,156.5
54,159.0
55,166.0
56,170.5
57,175.0
58,180.0
59,187.0
60,195.5
61,202.0
62,212.0
63,217.0
64,221.0
65,232.0
66,241.5
67,247.0
68,255.5
69,265.0
70,276.0
71,282.5
72,291.0
73,298.0
74,309.5
75,322.5
76,331.5
77,341.0
78,352.0
79,366.5
80,383.0
81,394.0
82,411.5
83,430.0
84,446.0
85,465.0
86,481.0
87,496.5
88,515.5
89,533.5
90,552.5
91,565.5
92,585.0
93,603.0
94,628.5
95,647.0
96,669.0
97,692.0
98,717.0
99,736.0
100,762.5
101,789.5
102,815.5
103,835.5
104,860.5
105,885.5
106,914.0
107,939.5
108,963.0
109,984.5
110,1010.5
111,1040.5
112,1063.5
113,1095.0
114,1118.0
115,1140.5
116,1177.5
117,1212.0
118,1258.0
119,1299.5
120,1331.5
121,1361.0
122,1396.5
123,1426.0
124,1451.5
125,1480.5
126,1510.0
127,1543.0
128,1569.0
129,1597.5
130,1635.0
131,1676.0
132,1709.0
133,1739.5
