,vax_susc_mult,vax_transmission_mult,contacts_per_day_mult,outside_infection_rate_mult,cases_isolated_per_contact_trace,initial_ID_prevalence,log_likelihood,combined_spread_mult,likelihood,posterior
1472,0.47051602528785896,0.5683627769645991,2.87733075852951,3.0852737147761413,0.8802631916018573,0.003378444528391319,-236.1796651948309,0.7694667101650718,2.6820981594997615e-103,2.797022856802993e-103
1473,0.4898013410932331,1.1374837347508104,1.4246140540394312,4.323217591441059,1.0619964313673054,0.0053117646361186596,-38.027501751155626,0.7937109823814855,3.0539774705623534e-17,3.1848367514324944e-17
1474,0.36433518836312007,0.5689798467822542,1.5667770219413997,2.3500910379475086,0.8579359772961723,0.004700674419116383,-8.821901002863775,0.3247919047018233,0.00014746775697441656,0.00015378657393204509
1475,0.5270330690326719,0.5225797520446316,2.1943245979119266,3.5884247355538488,1.28040965557061,0.0055489601389130585,-12.168455297978644,0.6043538820341151,5.191669179331264e-06,5.414125992412424e-06
1476,0.2381975706343072,0.6219028150676844,1.6142655257887792,1.1778295286891596,0.9031048407708978,0.004214444112861811,-21.0128773975198,0.2391304177668269,7.485542791079628e-10,7.806289344060248e-10
1477,0.7440591091101882,0.8240968468400391,1.7677471030778982,5.036843153179894,1.2010462080213522,0.004694919552055216,-1772.6977006546695,1.0839414512060517,0.0,0.0
1478,0.5365058230662382,0.7279051813105641,1.7697033755427052,3.3971533676171,0.7558642954874574,0.004648910590464673,-199.42991003053984,0.6911140627159049,2.447318804869243e-87,2.552183487713872e-87
1479,0.1602433570323058,0.21929075854698843,2.1560609075036603,3.0832745412057077,0.9840670185130787,0.0038539190086732318,-26.74883970819866,0.07576373733552967,2.4161646020269983e-12,2.5196943645523658e-12
1480,0.5258601408525412,0.608186977836914,1.548699024180079,2.980081531757844,1.1124836915638876,0.0038845829093119184,-6.467679267107096,0.49530691947173666,0.0015528252471841385,0.0016193619512437456
1481,0.21111270788779335,0.30005614526516605,2.1194061822389467,2.8946784015062144,1.0220917669876315,0.003709925395419966,-19.68650529685528,0.13425519475087305,2.8200667082869203e-09,2.9409031928416996e-09
1482,0.4478334021329774,0.38307871533139537,1.6621742072010035,2.9397285243485842,0.8979264014728606,0.0033415369670883707,-10.573240897572509,0.28515503473936205,2.559174044071474e-05,2.6688315900935987e-05
1483,0.4967350715470297,0.4776057068050012,0.6468620920860673,2.0326204031519346,0.6163614040350468,0.005425922571682896,-22.152451636771342,0.15346382994000013,2.3950384695323886e-10,2.4976630025554237e-10
1484,0.820685886042237,0.5408861686007664,2.081796075631018,2.765761844376127,1.3412355363063373,0.0037696512277120794,-449.77830253426794,0.9241043743563101,4.61068157229435e-196,4.808243761500857e-196
1485,0.9805501837163739,0.4223939952875748,2.950281321124172,2.8444242300887455,0.9219664504767223,0.00403607212847401,-1100.2581331078375,1.2219431207197289,0.0,0.0
1486,0.17626043032034583,0.7463431907874362,1.4902667573716155,2.9364852186326154,1.0708756706023939,0.00383539201280761,-30.950558408017226,0.19604574238069766,3.6169563826048227e-14,3.7719386363145e-14
1487,0.44622740781973236,0.7162506765696888,1.4664454660809783,4.979225137975833,0.7567696921875106,0.004148645520589988,-14.025163962194318,0.46869163663685426,8.108652397338454e-07,8.456098451466111e-07
1488,0.5720923078700302,0.5321848999821648,2.0292672499829987,4.0048235507887515,0.8120696753174834,0.004325514291768299,-116.14485930804489,0.6178284496629894,3.6218336641584855e-51,3.777024903547614e-51
1489,0.8716186338806409,1.1169261577270626,1.9171162498020629,3.246713459668331,0.997813109711446,0.004805647204053728,-7806.957757339306,1.8663771834868277,0.0,0.0
1490,0.527288276816316,0.40177710401743516,0.8986485115827578,2.8543809112958676,0.8035031707379016,0.0039159967935344505,-20.25190752477925,0.19038080515100592,1.6021689614701133e-09,1.6708199846526233e-09
1491,0.711629603207845,0.8338171609293146,1.9499948916225023,2.1277622023888494,0.861029161577665,0.0041724214116132105,-3955.774210552291,1.1570664708383174,0.0,0.0
1492,0.7019540586951009,0.7176965869018018,1.6966832801793035,3.357321006047294,1.2240701737373474,0.0033353450379324428,-180.60133498781732,0.8547721241635862,3.6799065532221915e-79,3.837586146429964e-79
1493,0.699804620447179,0.7656101320224348,1.1220940575417342,1.9228163290812186,1.0449269896856115,0.004474541843174645,-20.19235185551507,0.6011927577235373,1.7004858110297664e-09,1.7733495935907616e-09
1494,0.7336606003548851,0.8092268087135642,2.3145499779141745,1.4823392095708536,1.2155102276001575,0.004011808793357049,-1062.9156905371342,1.3741432907597586,0.0,0.0
1495,0.4531434495552596,0.7616066003380535,2.16506097379278,2.7908719299088234,0.976636698230907,0.0044523064152477585,-78.0734036417365,0.7471994392008923,1.2392291338607671e-34,1.2923286196472444e-34
1496,0.6718417837870071,0.3650636693343038,1.7649132820102857,3.5843765306623845,0.6375388676178222,0.004106736876127683,-12.441898172165786,0.4328715034143798,3.949592408228252e-06,4.118827717673986e-06
1497,0.35505423344832165,0.9983759711739308,1.8147060722925834,2.703199689038636,0.701390329753229,0.0051400277303708004,-239.254082992843,0.6432726806834184,1.2395726443210177e-104,1.2926868491197447e-104
1498,0.5729727236347546,0.5118758804055864,1.7816230484216593,1.2953993442650527,0.6780438691385148,0.004129125056452172,-55.02073694537157,0.522533858259396,1.2729095780882726e-24,1.3274522306150032e-24
1499,0.43010144131160444,0.49422380099436214,2.116445033508257,2.773988708407991,0.8107988150691188,0.004689377496488649,-9.41855519393994,0.4498850362533728,8.120325755410523e-05,8.468271998965698e-05
1500,0.455912175734953,0.8789291647252759,1.9366791915329609,2.286299195434298,0.9239875905908843,0.004068370247121242,-153.37224091131034,0.7760554490148123,2.4619662499743913e-67,2.567458558317741e-67
1501,0.5406158542150961,0.8680447946787369,1.8647371913555906,3.337477185319867,0.6876823409681188,0.0037246199228760882,-479.82903727298356,0.8750815907716356,4.1010669139467457e-209,4.276792724740163e-209
1502,0.36720155594351334,0.4689426562165204,1.9845779651350273,2.9941660226686557,0.7144403644299067,0.0034746994137734737,-9.272529198247906,0.3417373260115799,9.397054289645972e-05,9.799706823429829e-05
1503,0.5785887749068137,0.4680687842539413,2.5393583402151965,3.2709598518736795,1.0903925342319203,0.004214371574314769,-84.22921635701302,0.6877073610298855,2.628549265094822e-37,2.7411794563380824e-37
